AIRAC	airblockID	geometry(WKT)
20230117	592LE	POLYGON ((-3.02694444444444 38.8461111111111, -2.96583333333333 38.7536111111111, -2.90277777777778 38.7058333333333, -2.43611111111111 38.4138888888889, -2.11027777777778 38.6158333333333, -2.07166666666667 38.4102777777778, -2.03333333333333 38.2, -1.675 37.9591666666667, -2.82861111111111 37.5219444444444, -3.14166666666667 37.8236111111111, -3.27138888888889 37.8166666666667, -3.21305555555556 38.2216666666667, -3.1 39, -3.04583333333333 39, -3.03888888888889 39, -3.055 38.9491666666667, -3.02694444444444 38.8461111111111, -3.02694444444444 38.8461111111111))
20230117	833LE	POLYGON ((2.82777777777778 39.5261111111111, 2.88055555555556 39.4466666666667, 2.80083333333333 39.4419444444444, 2.76083333333333 39.5022222222222, 2.82777777777778 39.5261111111111, 2.82777777777778 39.5261111111111))
20230117	811LE	POLYGON ((2.97361111111111 39.6636111111111, 3.02527777777778 39.6325, 2.89277777777778 39.5611111111111, 2.82916666666667 39.5552777777778, 2.83138888888889 39.5944444444444, 2.97361111111111 39.6636111111111, 2.97361111111111 39.6636111111111))
20230117	846LE	POLYGON ((2.50277777777778 39.3625, 2.51416666666667 39.2325, 2.49194444444444 39.2130555555556, 2.36388888888889 39.2805555555556, 2.50277777777778 39.3625, 2.50277777777778 39.3625))
20230117	103LF	POLYGON ((0.6475 43.4922222222222, 1.47222222222222 43.9194444444444, 1.67833333333333 42.6175, 1.69694444444444 42.4930555555556, 1.67138888888889 42.5038888888889, 1.6475 42.4711111111111, 1.54888888888889 42.4405555555556, 1.51277777777778 42.4352777777778, 1.46472222222222 42.4411111111111, 1.43722222222222 42.4775, 1.43083333333333 42.4852777777778, 1.46416666666667 42.5169444444444, 1.44777777777778 42.5405555555556, 1.42388888888889 42.5422222222222, 1.42666666666667 42.5919444444444, 1.44027777777778 42.6063888888889, 1.375 42.6944444444444, 1.22944444444444 42.7244444444444, 1.11388888888889 42.7752777777778, 0.997222222222222 42.7747222222222, 0.861944444444444 42.8158333333333, 0.75 42.8452777777778, 0.733333333333333 42.85, 0.558333333333333 42.6930555555556, 0.416666666666667 42.7, 0.366666666666667 42.7, 0.151111111111111 42.7322222222222, -0.0666666666666667 42.7, -0.193611111111111 42.7966666666667, -0.2 42.7991666666667, -0.273611111111111 42.8391666666667, 0.6475 43.4922222222222, 0.6475 43.4922222222222))
20230117	005LE	POLYGON ((-3.88888888888889 38.5197222222222, -4.08277777777778 38.0013888888889, -4.37388888888889 37.5333333333333, -4.74166666666667 37.5333333333333, -4.60833333333333 37.8330555555556, -4.31722222222222 38.4794444444444, -4.30027777777778 38.5194444444444, -3.88888888888889 38.5197222222222, -3.88888888888889 38.5197222222222))
20230117	027LE	POLYGON ((-2.95 38.7833333333333, -2.38333333333333 38.4333333333333, -2 38.6847222222222, -2 38.4547222222222, -2 38.1666666666667, -1.66777777777778 37.9519444444444, -2.82861111111111 37.5219444444444, -3.14166666666667 37.8236111111111, -3.27138888888889 37.8166666666667, -3.21305555555556 38.2216666666667, -3.1 39, -3.04583333333333 39, -3.03888888888889 39, -2.99166666666667 39, -3 38.8833333333333, -2.95 38.7833333333333, -2.95 38.7833333333333))
20230117	807LE	POLYGON ((3.62333333333333 39.8936111111111, 3.63555555555556 39.7552777777778, 3.39472222222222 39.7280555555556, 3.38833333333333 39.8136111111111, 3.62333333333333 39.8936111111111, 3.62333333333333 39.8936111111111))
20230117	104LF	POLYGON ((3.36916666666667 44.8588888888889, 4.27361111111111 44.4316666666667, 4.22194444444444 44.085, 4.11666666666667 43.95, 4.02222222222222 43.8041666666667, 3.89194444444444 43.6030555555556, 3.20083333333333 42.4311111111111, 3.17638888888889 42.4327777777778, 3.16666666666667 42.4333333333333, 3.12833333333333 42.4322222222222, 2.98305555555556 42.4802777777778, 2.9075 42.4658333333333, 2.83222222222222 42.4513888888889, 2.69166666666667 42.4166666666667, 2.53333333333333 42.4, 2.21638888888889 42.4333333333333, 2.16666666666667 42.3833333333333, 2.10472222222222 42.3825, 2.10027777777778 42.3816666666667, 2.05861111111111 42.3616666666667, 2.00833333333333 42.3669444444444, 1.72805555555556 42.5044444444444, 1.69694444444444 42.4930555555556, 1.67833333333333 42.6175, 1.47222222222222 43.9194444444444, 2.625 44.5166666666667, 3.36916666666667 44.8588888888889, 3.36916666666667 44.8588888888889))
20230117	085LE	POLYGON ((4.43472222222222 42.0688888888889, 4.075 41.7775, 3.90305555555556 41.0336111111111, 3.87638888888889 40.9169444444444, 3.81722222222222 40.6558333333333, 3.78333333333333 40.5, 3.71166666666667 40.1838888888889, 2.905 40.4222222222222, 2.91444444444444 40.5, 2.91805555555556 40.6702777777778, 2.92888888888889 40.8677777777778, 2.94027777777778 41.0819444444444, 2.96277777777778 41.4883333333333, 3.7425 41.7986111111111, 4.00027777777778 42.2091666666667, 4.0375 42.1972222222222, 4.11555555555556 42.1722222222222, 4.33333333333333 42.0986111111111, 4.415 42.0797222222222, 4.43472222222222 42.0688888888889, 4.43472222222222 42.0688888888889))
