AIRAC	sectorID	airblockID	minAlt(ft)	maxAlt(ft)
20230117	LECPL2W	830LE	9500.0	14500.0
20230117	LFMMZZ	106LF	0.0	99900.0
20230117	LECBLVS	137LE	24500.0	99900.0
20230117	LECSNO1	005LE	30500.0	99900.0
20230117	LECBVNI	087LE	24500.0	35500.0
20230117	LECBLVS	401LE	24500.0	32500.0
20230117	LECPIRE	875LE	10500.0	24500.0
20230117	LECPL2W	846LE	12500.0	14500.0
20230117	LECBLVU	132LE	32500.0	99900.0
20230117	LECPL2W	839LE	0.0	16500.0
20230117	LECPL2W	808LE	0.0	20500.0
20230117	LECPIRE	876LE	14500.0	24500.0
20230117	LECPIRE	871LE	8500.0	24500.0
20230117	LECPL2W	811LE	3500.0	16500.0
20230117	LECPL2W	826LE	0.0	13500.0
20230117	LECBBAS	083LE	0.0	99900.0
20230117	LECSYES	594LE	30500.0	99900.0
20230117	LECSNO1	581LE	30500.0	99900.0
20230117	LECPL2W	807LE	0.0	20500.0
20230117	LECSNO1	593LE	24500.0	99900.0
20230117	LECBLVS	135LE	0.0	99900.0
20230117	LECBVNI	086LE	30500.0	35500.0
20230117	LECBVNI	089LE	19500.0	35500.0
20230117	LECBBAS	097LE	0.0	99900.0
20230117	LECPL2W	840LE	0.0	24500.0
20230117	LECPL2W	847LE	9500.0	14500.0
20230117	LECPIRE	870LE	8500.0	24500.0
20230117	LECPL2W	810LE	3500.0	20500.0
20230117	LECPIRE	873LE	8500.0	24500.0
20230117	LECPL2W	832LE	0.0	16500.0
20230117	LECBLVU	216LE	30500.0	99900.0
20230117	LECPL2W	812LE	0.0	20500.0
20230117	LFBBNH4	103LF	36500.0	99900.0
20230117	LECPL2W	848LE	9500.0	14500.0
20230117	LECPL2W	845LE	12500.0	14500.0
20230117	LECSYES	027LE	0.0	24500.0
20230117	LECBLVS	136LE	24500.0	99900.0
20230117	LECPL2W	809LE	3500.0	20500.0
20230117	LECPIRE	872LE	0.0	24500.0
20230117	LECBG23	099LE	34500.0	99900.0
20230117	LECSNO1	594LE	30500.0	99900.0
20230117	LECBBAS	098LE	32500.0	99900.0
20230117	LECPIRE	874LE	8500.0	24500.0
20230117	LECPIRE	836LE	8500.0	24500.0
20230117	LECPL2W	813LE	0.0	16500.0
20230117	LECPL2W	833LE	0.0	16500.0
20230117	LECBVNI	088LE	24500.0	35500.0
20230117	LECBVNI	085LE	35500.0	99900.0
20230117	LECSNO1	592LE	24500.0	99900.0
20230117	LECSNO1	580LE	0.0	99900.0
20230117	LECBMNU	090LE	32500.0	99900.0
20230117	LECPL2W	834LE	3500.0	16500.0
20230117	LECBP2R	106LE	30500.0	99900.0
20230117	LECSNO1	305LE	30500.0	99900.0
20230117	LECSNO1	027LE	0.0	24500.0
20230117	LECSYES	593LE	24500.0	99900.0
20230117	LECBGO3	099LE	36500.0	99900.0
20230117	LECBBAS	084LE	24500.0	99900.0
20230117	LECSYES	592LE	24500.0	99900.0
20230117	LECPL2W	849LE	12500.0	14500.0
20230117	LFBBNH4	104LF	36500.0	99900.0
