RTkey,longitude,latitude,x,y,altitude,speed_x_component,speed_y_component,course,speed,alt_speed,relative_bearing_to_exit_point,alt_diff_wrt_exit_point,h_diff_wrt_exit_point,timestamp,flight_phase
4803044,0.349859,40.055519,944010.1336007518,613950.1887793316,38000.0,150.36482915950086,163.8694230198084,42.539159432532415,222.4022674560547,0.0,0.3147086693010124,0.0,66521.609375,1547539230,cruising
4803126,-1.105718,39.53392,821718.6319016023,551524.2080022081,38000.0,216.5328795782019,-39.52424500221775,100.3444482520049,220.1105499267578,0.0,9.209073079011148,0.0,250171.953125,1547539230,cruising
4803143,-0.775878,38.972507,852063.9801747332,490171.2185821291,39000.0,-66.76795575518238,-213.41186945275984,197.3727941101242,223.61257934570312,0.0,-10.99924453831602,0.0,136412.671875,1547539230,cruising
4803146,-0.980206,38.959618,834426.6901669903,488184.94958394894,39000.0,-95.12551041551245,-207.53882095135245,204.6243748849025,228.3007354736328,0.0,2.835906414582894,2000.0,127122.1328125,1547539230,cruising
4803147,-0.030648,41.04361,907115.4714899391,722056.5495370253,37000.0,-218.58152863360786,-48.22645435950641,257.5579532053754,223.8385009765625,0.0,5.941483585957485,0.0,58648.18359375,1547539230,cruising
4803176,0.397329,40.431343,946141.9667980575,655772.458231421,36000.0,47.33245967174492,211.4407966723588,12.618023777998815,216.6738739013672,0.0,-0.9110103666614577,0.0,31467.208984375,1547539230,cruising
4803183,1.5933528,39.1613352,1055715.194512438,520498.55726408964,35000.0,-206.04940933356218,-94.16385707807106,245.43976561637496,226.5462188720703,0.0,4.682493685482228,0.0,307674.03125,1547539230,cruising
4803215,0.03464,40.805416,913697.984982624,695882.6666704174,39000.0,-57.26624186310607,-220.35723665942206,194.56772793649313,227.67681884765625,0.0,0.01683451417983406,6844.579577192115,66541.953125,1547539230,cruising
4803226,0.130607,41.044277,920645.3376651811,722698.3171149743,39000.0,-57.98429957700428,-218.4360369851192,194.86642679976515,226.00106811523438,0.0,-11.400012201528739,0.0,256759.171875,1547539230,cruising
4803245,0.281348,41.600468,930547.7028231644,784903.6977323592,37000.0,-31.699846879338534,-225.0388175945962,188.01815128581325,227.2605438232422,0.0,-4.322787102822758,4844.579577192115,157057.765625,1547539230,cruising
4803286,0.4703334,42.593023,941135.8730069408,895693.7205878318,39000.0,-38.74759341225339,-232.2055041323222,189.47352769919493,235.41616821289062,0.0,-0.013992287979618823,6825.765763561951,267882.90625,1547539230,cruising
